Crop,Region,Month,Fertilizer,N,P,K,Temperature(C),Humidity(%),Soil_pH,Moisture(%)
Rice,Kerala,May,Molybdenum (Ammonium Molybdate),34.8,19.6,73.8,38.6,96.9,7.3,11.7
Rice,Himachal Pradesh,February,Zinc Oxysulphate,133.2,72.4,109.0,26.9,40.8,8.2,24.7
Rice,Karnataka,March,Zinc Fortified Urea,133.8,4.1,94.9,22.3,86.8,6.8,24.7
Rice,Karnataka,December,Pyrites,100.5,43.7,80.8,27.3,91.5,6.2,7.8
Rice,Maharashtra,April,Bone Meal,124.1,85.4,6.4,15.3,76.7,4.8,37.9
Rice,Haryana,December,Boron (Boric Acid/Borax),7.1,14.3,53.0,26.4,30.3,4.9,5.2
Rice,Karnataka,January,NPK 15:15:15,88.5,76.4,54.9,31.9,32.5,5.4,11.3
Rice,Karnataka,June,Polymer Coated Urea,17.2,39.0,70.2,24.4,61.5,7.7,43.1
Rice,Assam,November,Zinc Sulphate,100.2,29.1,73.1,43.3,63.2,6.5,34.6
Rice,Chhattisgarh,April,Calcium Nitrate,136.8,29.0,116.3,42.2,68.2,5.4,7.8
Rice,Gujarat,October,Calcium Ammonium Nitrate (CAN),58.1,70.7,5.7,34.0,86.4,5.9,6.8
Rice,Chhattisgarh,November,Pyrites,121.5,33.4,14.2,39.4,49.1,7.4,19.2
Rice,Assam,June,Magnesium Sulphate,42.7,98.2,116.2,33.2,52.7,6.3,6.3
Rice,Chhattisgarh,March,Muriate of Potash (MOP),25.6,36.0,107.9,19.7,44.5,5.1,22.9
Rice,Bihar,June,NPK 19:19:19,46.5,80.1,105.1,12.4,91.6,5.0,32.0
Rice,Bihar,November,Ammonium Chloride,48.5,45.8,107.7,13.3,93.3,5.1,19.5
Rice,Andhra Pradesh,July,Ammonium Chloride,67.2,45.9,113.0,23.6,87.6,5.2,41.6
Rice,Himachal Pradesh,January,Water Soluble NPK (19:19:19),51.2,89.4,27.9,40.5,92.1,8.2,21.8
Rice,Madhya Pradesh,May,Bone Meal,113.9,92.4,82.2,44.7,84.5,6.5,17.5
Rice,Karnataka,March,Zinc Sulphate,134.6,3.7,8.1,25.2,43.7,6.6,22.5
Rice,Goa,April,Water Soluble NPK (13:40:13),123.4,16.8,46.2,31.7,32.0,7.4,46.8
Rice,Andhra Pradesh,January,NPK 17:17:17,123.1,53.3,109.7,20.9,49.2,7.8,5.3
Rice,Maharashtra,October,Gypsum,91.1,30.1,1.7,24.4,27.3,8.8,38.7
Rice,Assam,January,Sulphur-Coated Urea,57.3,70.0,109.7,32.1,78.1,6.0,31.6
Rice,Goa,December,Chelated Iron,4.4,76.3,20.9,20.8,85.2,6.5,15.7
Rice,Jharkhand,February,Potassium Nitrate,83.1,4.2,12.8,14.5,43.5,7.8,42.5
